Product ID,Product Name,Original URL,SEO Filename,New CDN URL,Price,Brand
231147,"Industrial Biscuit Machine","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20220621121133-a45d9ba1-7946-41f6-badb-97503479b41d.jpg","industrial-biscuit-machine-industrial.jpg","https://cdn.bazargpt.com/images/industrial-biscuit-machine-industrial.jpg","₹5,50,000","Others"
231148,"Biscuit Making Equipment 88 Trey","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20220629071938-74fbd04f-cbb8-4e8a-97cd-0a86ceeba1f1.jpg","biscuit-making-equipment-88-trey-classic-oven-industrial.jpg","https://cdn.bazargpt.com/images/biscuit-making-equipment-88-trey-classic-oven-industrial.jpg","₹4,80,000","Classic oven"
231150,"Rusk Toast Bun Divider Equipment","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/rusktoast-bun-divider20231109082913.jpg","rusk-toast-bun-divider-equipment-industrial.jpg","https://cdn.bazargpt.com/images/rusk-toast-bun-divider-equipment-industrial.jpg","₹2,50,000","Others"
231151,"Fully Automatic Rusk Machine","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20230502045452-ccf4d660-4b54-498d-8b16-57df5ea7031a.jpg","fully-automatic-rusk-machine-industrial.jpg","https://cdn.bazargpt.com/images/fully-automatic-rusk-machine-industrial.jpg","₹5,00,000","Others"
231152,"Rusk Production Machine","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20230317094834-899c15ef-0906-4d70-94a7-54095029854e.jpg","rusk-production-machine-industrial.jpg","https://cdn.bazargpt.com/images/rusk-production-machine-industrial.jpg","₹30,00,000","Others"
231154,"Bread and Rusk Production Plant","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20210624070753-30996d67-2a70-4aad-81c7-51df72ad6a77.jpg","bread-and-rusk-production-plant-industrial.jpg","https://cdn.bazargpt.com/images/bread-and-rusk-production-plant-industrial.jpg","₹6,50,000","Others"
231155,"Biscuit Manufacturing Equipment","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/biscuit-making-machinery-20240213042131519.jpeg","biscuit-manufacturing-equipment-industrial.jpg","https://cdn.bazargpt.com/images/biscuit-manufacturing-equipment-industrial.jpg","₹3,00,000","Others"
231156,"Energy Bar Production Line","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20200716035637-73843425-54c7-4420-8659-c111974aa017.jpg","energy-bar-production-line-kalyan-industrial.jpg","https://cdn.bazargpt.com/images/energy-bar-production-line-kalyan-industrial.jpg","₹7,50,000","Kalyan"
231157,"Rusk Bread Moulding Machine","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20241010122532-79ef62dc-0b4e-4e19-b8b1-ee797a32a2bc.jpg","rusk-bread-moulding-machine-professional.jpg","https://cdn.bazargpt.com/images/rusk-bread-moulding-machine-professional.jpg","₹40,000","Others"
231158,"Bread Shaping Machine","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20220803102633-1c078879-a64f-465c-9dd6-010c5f04c6a5.jpg","bread-shaping-machine-industrial.jpg","https://cdn.bazargpt.com/images/bread-shaping-machine-industrial.jpg","₹3,90,000","Others"
231159,"Bakery Bread Shaper","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20251004084836-8565a8e1-b3ae-4bc7-a122-ff1ea44189cd.jpg","bakery-bread-shaper-industrial.jpg","https://cdn.bazargpt.com/images/bakery-bread-shaper-industrial.jpg","₹1,80,000","Others"
231160,"Professional Bread Moulding Machine","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20210406062257-4f1d7a95-543c-417c-a836-18bd15374d69.jpg","professional-bread-moulding-machine-industrial.jpg","https://cdn.bazargpt.com/images/professional-bread-moulding-machine-industrial.jpg","₹1,75,000","Others"
231163,"Falcon Bread Molder Machine","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20200729050646-28fadcf6-654d-49e5-83b9-a37412a3d43d.jpg","falcon-bread-molder-machine-falcon-industrial.jpg","https://cdn.bazargpt.com/images/falcon-bread-molder-machine-falcon-industrial.jpg","₹1,70,000","Falcon"
231164,"Chocolate Depositor Machine, 50 kg/hr Capacity","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/chocolate-molding-depositor-c-20250610121607482.jpg","chocolate-depositor-machine-50-kg-hr-capacity-50kg-industrial.jpg","https://cdn.bazargpt.com/images/chocolate-depositor-machine-50-kg-hr-capacity-50kg-industrial.jpg","₹4,30,000","Others"
231165,"Frost Master Chocolate Melting Machine, 50 kg/hr","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20251030060133-6013d6a6-ff75-4a88-be03-3db69c2cc786.jpg","frost-master-chocolate-melting-machine-50-kg-hr-50kg-imported-professional.jpg","https://cdn.bazargpt.com/images/frost-master-chocolate-melting-machine-50-kg-hr-50kg-imported-professional.jpg","₹30,000","IMPORTED"
231166,"Digital Analog Chocolate Melting Machine, 1-15 Ltr","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/chocolate-melting-machine-digital-analog-imported-indi20230926063150.jpg","digital-analog-chocolate-melting-machine-1-15-ltr-15l-professional.jpg","https://cdn.bazargpt.com/images/digital-analog-chocolate-melting-machine-1-15-ltr-15l-professional.jpg","₹15,000","Others"
231167,"Chocolate Melting Tank Machine, 500 Liters","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20231213100248-6ee50821-4bf2-44bd-b917-c40a710588ab.jpg","chocolate-melting-tank-machine-500-liters-500l-commercial.jpg","https://cdn.bazargpt.com/images/chocolate-melting-tank-machine-500-liters-500l-commercial.jpg","₹60,000","Others"
231168,"Chocolate Melter Machine, 5 Ltr Capacity","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/choclate-melter-machine-capacity-5ltr55ltr20231025072729.jpg","chocolate-melter-machine-5-ltr-capacity-5l.jpg","https://cdn.bazargpt.com/images/chocolate-melter-machine-5-ltr-capacity-5l.jpg","₹8,500","Others"
231169,"Chocolate Melter Equipment","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/20230322081739-74a9ad84-279b-469f-b2c1-e3042d0a5384.jpg","chocolate-melter-equipment.jpg","https://cdn.bazargpt.com/images/chocolate-melter-equipment.jpg","₹5,000","Others"
231170,"Chocolate Stove Melting Machine","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/chocolate--stove-or-melter-mac-20241108115835448.jpg","chocolate-stove-melting-machine.jpg","https://cdn.bazargpt.com/images/chocolate-stove-melting-machine.jpg","₹6,300","Others"
231171,"Chocolate Enrobing Machine","https://d91ztqmtx7u1k.cloudfront.net/ClientContent/Images/Medium/chocolate-moulding-machine-20240613123659518.jpeg","chocolate-enrobing-machine-industrial.jpg","https://cdn.bazargpt.com/images/chocolate-enrobing-machine-industrial.jpg","₹7,00,000","Others"
